Этап;Оплата;Блок работ;Задача;Часов;Ставка ₽/ч;Стоимость ₽;Комментарий
1;Оплата 1 — 20%;Инфраструктура;Настройка Beget VPS: Nginx + PHP-FPM 8.3 + PM2 + Supervisor;6;1760;10560;Ubuntu 22.04 LTS
1;Оплата 1 — 20%;Инфраструктура;PostgreSQL 16 + Redis + SSL Let's Encrypt;4;1760;7040;
1;Оплата 1 — 20%;Инфраструктура;Nginx роутинг /api/* → Laravel / /* → Next.js;2;1760;3520;
1;Оплата 1 — 20%;Бэкенд — база;Laravel 11 init + Sanctum Auth + Spatie Roles (4 роли);10;1760;17600;
1;Оплата 1 — 20%;Бэкенд — база;Миграции всех таблиц (halls / bookings / pricing_rules / clients / action_logs);8;1760;14080;
1;Оплата 1 — 20%;Бэкенд — база;Модели + связи + фабрики + сидеры (тестовые залы и тарифы);6;1760;10560;
1;Оплата 1 — 20%;Фронтенд — база;Next.js 14 App Router init + TailwindCSS + дизайн-система (цвета, шрифты);8;1760;14080;Unbounded + design tokens
1;Оплата 1 — 20%;Фронтенд — база;Zustand store (состояние бронирования) + React Query setup + axios API client;4;1760;7040;
1;Оплата 1 — 20%;Фронтенд — база;Базовые UI-компоненты (Button, Badge, Card, Input, Modal) — shadcn или custom;6;1760;10560;
;;;;;;Итого этап 1;;54;1760;95040;
2;Оплата 2 — 25%;Каталог залов;API: HallController (список + детали + доступность) + HallResource;8;1760;14080;
2;Оплата 2 — 25%;Каталог залов;Загрузка фото залов → локальный storage + Nginx alias;4;1760;7040;
2;Оплата 2 — 25%;Каталог залов;Frontend: страница каталога + карточки залов + Swiper.js карусель;10;1760;17600;
2;Оплата 2 — 25%;Каталог залов;Frontend: фильтры по вместимости / статусу (клиентская фильтрация);4;1760;7040;
2;Оплата 2 — 25%;Тарифный движок;PricingRule CRUD API + PricingService::calculate() с диапазонами;8;1760;14080;
2;Оплата 2 — 25%;Тарифный движок;GET /api/halls/{id}/pricing → возврат правил тарифа для зала;3;1760;5280;
2;Оплата 2 — 25%;Тарифный движок;Frontend: pricing.ts — клиентский расчёт цены в реальном времени;4;1760;7040;
2;Оплата 2 — 25%;Тарифный движок;Frontend: страница тарифов + калькулятор;6;1760;10560;
2;Оплата 2 — 25%;Календарь и слоты;Frontend: тайм-грид (выбор даты + слотов) + интерактивный выбор диапазона;14;1760;24640;
2;Оплата 2 — 25%;Календарь и слоты;Frontend: bottom sheet — расчёт итого / предоплаты при выборе;4;1760;7040;
2;Оплата 2 — 25%;Booking Engine;GET /api/halls/{id}/availability — свободные/занятые слоты;4;1760;7040;
2;Оплата 2 — 25%;Booking Engine;POST /api/bookings/hold — Redis TTL 600 сек + статус hold;8;1760;14080;
2;Оплата 2 — 25%;Booking Engine;Scheduler: ReleaseHoldJob — каждую минуту снятие hold по TTL;3;1760;5280;
;;;;;;Итого этап 2;;80;1760;140800;
3;Оплата 3 — 20%;Оплата CloudPayments;PaymentService: инициирование платежа + обработка webhook (HMAC);12;1760;21120;
3;Оплата 3 — 20%;Оплата CloudPayments;Tokenization (сохранение карты в CP Vault) + повторный платёж;6;1760;10560;
3;Оплата 3 — 20%;Оплата CloudPayments;Автоматические возвраты через CP API (отмена ≥6ч / <6ч);6;1760;10560;
3;Оплата 3 — 20%;Оплата CloudPayments;Frontend: CloudPayments JS Widget (карта + СБП) + 50% логика;8;1760;14080;
3;Оплата 3 — 20%;Telegram Bot;Настройка бота + webhook endpoint + конфиг в .env;4;1760;7040;
3;Оплата 3 — 20%;Telegram Bot;NotificationService: все шаблоны (новая бронь / подтверждение / напоминания 24ч и 2ч / отмена);8;1760;14080;
3;Оплата 3 — 20%;Telegram Bot;Queue Jobs: SendReminderJob + CompleteBookingJob + отправка через очередь;4;1760;7040;
3;Оплата 3 — 20%;Email fallback;Резервный email-канал (SMTP) при недоступности Telegram;4;1760;7040;
3;Оплата 3 — 20%;Booking — финальный флоу;BookingController: post /pay + подтверждение + смена статуса paid→confirmed;6;1760;10560;
3;Оплата 3 — 20%;Booking — финальный флоу;Страница оформления брони: форма контактов + согласия + оплата;10;1760;17600;
3;Оплата 3 — 20%;Booking — финальный флоу;Success-экран + модалка подтверждения;3;1760;5280;
;;;;;;Итого этап 3;;71;1760;124960;
4;Оплата 4 — 20%;Личный кабинет клиента;API: cabinet/profile (GET/PUT) + cabinet/bookings;6;1760;10560;
4;Оплата 4 — 20%;Личный кабинет клиента;API: cancel (с проверкой 6ч) + reschedule-request;6;1760;10560;
4;Оплата 4 — 20%;Личный кабинет клиента;Frontend: страница кабинета — активные брони + история + повтор;12;1760;21120;
4;Оплата 4 — 20%;Личный кабинет клиента;Frontend: профиль — телефон + email + telegram + сохранённые карты;6;1760;10560;
4;Оплата 4 — 20%;Личный кабинет клиента;Frontend: таймлайн статусов брони;3;1760;5280;
4;Оплата 4 — 20%;Админ-панель FilamentPHP;Список всех броней + фильтры (статус / зал / дата) + поиск;8;1760;14080;
4;Оплата 4 — 20%;Админ-панель FilamentPHP;CRM-карточка клиента (вся история + контакты + заметки);6;1760;10560;
4;Оплата 4 — 20%;Админ-панель FilamentPHP;Ручная бронь + override (переназначение времени/зала);6;1760;10560;
4;Оплата 4 — 20%;Админ-панель FilamentPHP;Блэклист клиентов + причина блокировки;3;1760;5280;
4;Оплата 4 — 20%;Админ-панель FilamentPHP;Аналитика: выручка (день/неделя/месяц) + загрузка залов + тепловая карта;8;1760;14080;
4;Оплата 4 — 20%;Логи действий;ActionLogger::log() — immutable лог всех действий (все 4 роли);4;1760;7040;
4;Оплата 4 — 20%;Логи действий;Viewer логов в Filament (фильтр по роли / типу / дате);4;1760;7040;
;;;;;;Итого этап 4;;72;1760;126720;
5;Оплата 5 — 15%;Панель арендодателя;Landlord dashboard: аналитика по своим залам;6;1760;10560;
5;Оплата 5 — 15%;Панель арендодателя;CRUD залов + загрузка фото + статус активен/отключён;8;1760;14080;
5;Оплата 5 — 15%;Панель арендодателя;Блокировка дат (набор дат → статус blocked в слотах);6;1760;10560;
5;Оплата 5 — 15%;Панель арендодателя;Редактор тарифных правил (таблица pricing_rules) без деплоя;6;1760;10560;
5;Оплата 5 — 15%;Безопасность;Honeypot + Time Trap в формах бронирования;3;1760;5280;
5;Оплата 5 — 15%;Безопасность;Laravel Throttle middleware на всех публичных API;2;1760;3520;
5;Оплата 5 — 15%;Юридические страницы;6 страниц: оферта, конф. политика, правила аренды, возврат, ОПД, согласие;4;1760;7040;
5;Оплата 5 — 15%;Юридические страницы;Логирование согласий при оформлении брони (флаги + timestamp + IP);2;1760;3520;
5;Оплата 5 — 15%;Тестирование;PHPUnit: unit PricingService + BookingService + PaymentService;8;1760;14080;
5;Оплата 5 — 15%;Тестирование;Feature-тесты: полный флоу бронирования + webhook от CP;6;1760;10560;
5;Оплата 5 — 15%;Тестирование;Ручное QA на iPhone + Android + desktop (Chrome/Safari/Firefox);8;1760;14080;
5;Оплата 5 — 15%;Деплой и запуск;Production-конфиг Beget + Supervisor воркеры + PM2 + cron;4;1760;7040;
5;Оплата 5 — 15%;Деплой и запуск;Сидинг боевых данных + финальная проверка всех интеграций;4;1760;7040;
5;Оплата 5 — 15%;Деплой и запуск;Документация: deploy guide + .env шаблон + описание API;4;1760;7040;
;;;;;;Итого этап 5;;71;1760;124960;
;;;;;;;
;;Итого по проекту;;;348;1760;612480;
;;Рекомендуемый резерв (10%);;;35;1760;61600;Баги после запуска / доработки
;;ИТОГО С РЕЗЕРВОМ;;;383;1760;674080;
